from_title,from_date,to_title,to_date,days_between,tone_shift_score,sentiment_delta,from_stance,to_stance,from_prediction_style,to_prediction_style,increased_themes,decreased_themes,explanation
Are You An Investor or a Speculator?,1997-09-03,Who Knew?,1998-01-08,127,0.3038,0.1043,opportunistic,constructive,forecasting,forecasting,"macro (+4.60), psychology (+1.51), uncertainty (+1.49)","valuation (-12.42), rates (-4.61), risk (-3.79)","stance moves from opportunistic to constructive; greater emphasis on macro (+4.60), psychology (+1.51), uncertainty (+1.49); less emphasis on valuation (-12.42), rates (-4.61), risk (-3.79)"
On Uncertain Ground,2012-09-11,A Fresh Start (Hopefully),2012-11-09,59,0.3014,0.7343,constructive,constructive,forecasting,forecasting,"politics (+9.31), cycles (+0.20)","macro (-5.96), risk (-3.75), uncertainty (-3.30)","later memo is materially more constructive / bullish in tone; greater emphasis on politics (+9.31), cycles (+0.20); less emphasis on macro (-5.96), risk (-3.75), uncertainty (-3.30)"
The Outlook for Equities,2013-03-13,The Role of Confidence,2013-08-05,145,0.2998,-0.3831,constructive,constructive,warning,forecasting,"macro (+6.89), cycles (+5.48), psychology (+3.78)","credit (-14.81), risk (-9.15), valuation (-7.80)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+6.89), cycles (+5.48), psychology (+3.78); less emphasis on credit (-14.81), risk (-9.15), valuation (-7.80)"
Calibrating,2020-04-06,Knowledge of the Future,2020-04-14,8,0.2994,0.25,opportunistic,constructive,forecasting,forecasting,"rates (+7.00), macro (+5.23), politics (+4.04)","uncertainty (-2.26), valuation (-1.93), risk (-1.64)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on rates (+7.00), macro (+5.23), politics (+4.04); less emphasis on uncertainty (-2.26), valuation (-1.93), risk (-1.64)"
There They Go Again,2005-05-06,A Case in Point,2005-06-06,31,0.2983,0.1905,constructive,opportunistic,warning,forecasting,"credit (+8.53), risk (+1.29), valuation (+0.62)","rates (-4.01), macro (-3.36), cycles (-1.22)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; greater emphasis on credit (+8.53), risk (+1.29), valuation (+0.62); less emphasis on rates (-4.01), macro (-3.36), cycles (-1.22)"
The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,Will It Be Different This Time?,1996-11-25,126,0.2949,-0.6818,constructive,constructive,forecasting,forecasting,"macro (+8.84), cycles (+7.89), politics (+3.29)","prediction (-15.82), rates (-8.05), valuation (-1.03)","later memo is materially more defensive / bearish in tone; greater emphasis on macro (+8.84), cycles (+7.89), politics (+3.29); less emphasis on prediction (-15.82), rates (-8.05), valuation (-1.03)"
bubble.com,2000-01-02,Irrational Exuberance,2000-05-01,120,0.2948,0.1136,constructive,opportunistic,forecasting,warning,"macro (+3.67), rates (+3.06), risk (+0.59)","technology_ai (-4.71), valuation (-2.50), prediction (-0.63)","stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; greater emphasis on macro (+3.67), rates (+3.06), risk (+0.59); less emphasis on technology_ai (-4.71), valuation (-2.50), prediction (-0.63)"
Lessons from Silicon Valley Bank,2023-04-17,Taking the Temperature,2023-07-10,84,0.2939,-0.0926,constructive,constructive,forecasting,warning,"psychology (+5.16), cycles (+2.00), technology_ai (+1.44)","credit (-9.54), rates (-5.15), politics (-3.28)","prediction posture moves from forecasting to warning; greater emphasis on psychology (+5.16), cycles (+2.00), technology_ai (+1.44); less emphasis on credit (-9.54), rates (-5.15), politics (-3.28)"
Tell Me I’m Wrong,2010-01-22,I’d Rather Be Wrong,2010-03-17,54,0.2916,-0.0143,opportunistic,constructive,forecasting,forecasting,"politics (+10.11), psychology (+0.21)","rates (-11.87), macro (-11.48), credit (-5.10)","stance moves from opportunistic to constructive; greater emphasis on politics (+10.11), psychology (+0.21); less emphasis on rates (-11.87), macro (-11.48), credit (-5.10)"
The Role of Confidence,2013-08-05,The Race Is On,2013-11-26,113,0.288,-0.3193,constructive,alarmed,forecasting,warning,"credit (+11.34), risk (+5.99), valuation (+5.31)","macro (-4.52), psychology (-3.23), uncertainty (-1.77)","stance moves from constructive to alarmed; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+11.34), risk (+5.99), valuation (+5.31); less emphasis on macro (-4.52), psychology (-3.23), uncertainty (-1.77)"
This Time It’s Different,2026-03-24,You Bet!,2026-03-24,0,0.2871,0.4685,alarmed,constructive,forecasting,forecasting,"uncertainty (+1.56), prediction (+0.65)","rates (-15.56), macro (-14.40), credit (-7.89)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on uncertainty (+1.56), prediction (+0.65); less emphasis on rates (-15.56), macro (-14.40), credit (-7.89)"
Coming into Focus,2020-10-13,Something of Value,2021-01-11,90,0.285,0.0568,opportunistic,opportunistic,warning,forecasting,"valuation (+9.96), uncertainty (+0.36)","rates (-12.73), credit (-7.06), risk (-6.54)","prediction posture moves from warning to forecasting; greater emphasis on valuation (+9.96), uncertainty (+0.36); less emphasis on rates (-12.73), credit (-7.06), risk (-6.54)"
It’s All Very Taxing,2011-11-16,What Can We Do For You?,2012-01-10,55,0.2827,-0.5654,constructive,opportunistic,forecasting,forecasting,"risk (+5.48), valuation (+3.70), psychology (+2.97)","politics (-5.39), rates (-3.78)","stance moves from constructive to opportunistic; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+5.48), valuation (+3.70), psychology (+2.97); less emphasis on politics (-5.39), rates (-3.78)"
Us and Them,2004-05-07,The Happy Medium,2004-07-21,75,0.2822,-0.5465,opportunistic,opportunistic,forecasting,warning,"cycles (+8.22), valuation (+7.57), psychology (+7.46)","rates (-7.20), macro (-0.81), prediction (-0.24)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on cycles (+8.22), valuation (+7.57), psychology (+7.46); less emphasis on rates (-7.20), macro (-0.81), prediction (-0.24)"
It’s All a Big Mistake,2012-06-20,On Uncertain Ground,2012-09-11,83,0.2809,-0.3951,opportunistic,constructive,warning,forecasting,"macro (+11.56), uncertainty (+3.01), rates (+2.42)","credit (-11.29), valuation (-10.20), risk (-1.84)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+11.56), uncertainty (+3.01), rates (+2.42); less emphasis on credit (-11.29), valuation (-10.20), risk (-1.84)"
How the Game Should Be Played,1995-05-26,The Value of Predictions II (or 'Give That Man a Cigar'),1996-07-22,423,0.2787,0.5,opportunistic,constructive,forecasting,forecasting,"prediction (+17.47), rates (+8.05), macro (+3.66)","risk (-2.71), cycles (-1.15)","stance moves from opportunistic to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on prediction (+17.47), rates (+8.05), macro (+3.66); less emphasis on risk (-2.71), cycles (-1.15)"
Pigweed,2006-12-07,The Race to the Bottom,2007-02-14,69,0.2765,-0.0769,constructive,constructive,warning,forecasting,"credit (+12.37), rates (+3.73), cycles (+1.14)","prediction (-1.85), risk (-1.22), uncertainty (-0.74)","prediction posture moves from warning to forecasting; greater emphasis on credit (+12.37), rates (+3.73), cycles (+1.14); less emphasis on prediction (-1.85), risk (-1.22), uncertainty (-0.74)"
It Is What It Is,2006-03-27,"Returns, Absolute Returns and Risk",2006-06-13,78,0.2684,0.572,opportunistic,constructive,forecasting,warning,"valuation (+15.22), risk (+6.45), technology_ai (+0.27)","cycles (-2.12), macro (-1.73), prediction (-1.32)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+15.22), risk (+6.45), technology_ai (+0.27); less emphasis on cycles (-2.12), macro (-1.73), prediction (-1.32)"
Oaktree at Ten,2005-04-11,There They Go Again,2005-05-06,25,0.2665,-0.2612,constructive,constructive,forecasting,warning,"valuation (+7.23), rates (+5.20), psychology (+1.83)","credit (-5.63), uncertainty (-0.41)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+7.23), rates (+5.20), psychology (+1.83); less emphasis on credit (-5.63), uncertainty (-0.41)"
What’s Behind the Downturn?,2011-09-07,It’s All Very Taxing,2011-11-16,70,0.2664,0.8889,constructive,constructive,forecasting,forecasting,"rates (+3.57), politics (+3.48)","credit (-8.89), risk (-3.18), prediction (-3.09)","later memo is materially more constructive / bullish in tone; greater emphasis on rates (+3.57), politics (+3.48); less emphasis on credit (-8.89), risk (-3.18), prediction (-3.09)"
The Most Important Thing,2003-07-01,What’s Your Game Plan?,2003-09-05,66,0.2581,0.0261,opportunistic,constructive,forecasting,preparation,credit (+1.79),"valuation (-13.07), risk (-6.17), prediction (-1.00)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to preparation; greater emphasis on credit (+1.79); less emphasis on valuation (-13.07), risk (-6.17), prediction (-1.00)"
I Beg to Differ,2022-07-26,The Illusion of Knowledge,2022-09-08,44,0.2549,-0.0389,constructive,constructive,forecasting,forecasting,"macro (+12.35), rates (+4.02), prediction (+2.82)","risk (-2.28), valuation (-1.79), credit (-1.43)","greater emphasis on macro (+12.35), rates (+4.02), prediction (+2.82); less emphasis on risk (-2.28), valuation (-1.79), credit (-1.43)"
2020 in Review,2021-03-04,Thinking About Macro,2021-07-29,147,0.2518,-0.5385,opportunistic,constructive,forecasting,forecasting,"macro (+17.90), rates (+11.42), prediction (+3.19)","credit (-2.18), risk (-1.73), cycles (-0.18)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+17.90), rates (+11.42), prediction (+3.19); less emphasis on credit (-2.18), risk (-1.73), cycles (-0.18)"
A Look Under the Hood,2025-10-28,Cockroaches in the Coal Mine,2025-11-06,9,0.247,0.1167,constructive,constructive,warning,warning,"credit (+12.56), cycles (+4.01), psychology (+1.41)","risk (-10.16), politics (-2.31), prediction (-1.15)","greater emphasis on credit (+12.56), cycles (+4.01), psychology (+1.41); less emphasis on risk (-10.16), politics (-2.31), prediction (-1.15)"
Assessing Performance Records – A Case Study,2012-02-15,Déjà Vu All Over Again,2012-03-19,33,0.2395,0.2576,opportunistic,opportunistic,warning,forecasting,"psychology (+3.88), valuation (+1.76), credit (+1.17)","risk (-3.09), macro (-1.90), politics (-0.77)","prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on psychology (+3.88), valuation (+1.76), credit (+1.17); less emphasis on risk (-3.09), macro (-1.90), politics (-0.77)"
"What's It All About, Alpha?",2001-07-11,Notes from New York,2001-09-16,67,0.2394,-0.7519,constructive,constructive,warning,forecasting,"politics (+1.32), psychology (+0.82), technology_ai (+0.41)","valuation (-8.75), risk (-6.00), credit (-3.29)","prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+1.32), psychology (+0.82), technology_ai (+0.41); less emphasis on valuation (-8.75), risk (-6.00), credit (-3.29)"
Dare to Be Great II,2014-04-08,Risk Revisited,2014-09-03,148,0.2382,-0.0298,constructive,constructive,forecasting,warning,"risk (+13.26), valuation (+3.81), credit (+2.62)",cycles (-0.20),"prediction posture moves from forecasting to warning; greater emphasis on risk (+13.26), valuation (+3.81), credit (+2.62); less emphasis on cycles (-0.20)"
Not Enough,2020-06-11,The Anatomy of a Rally,2020-06-18,7,0.2372,-0.2857,opportunistic,constructive,forecasting,forecasting,"rates (+8.48), valuation (+5.88), credit (+4.96)","politics (-1.12), psychology (-0.19)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on rates (+8.48), valuation (+5.88), credit (+4.96); less emphasis on politics (-1.12), psychology (-0.19)"
What Can We Do For You?,2012-01-10,Assessing Performance Records – A Case Study,2012-02-15,36,0.2324,-0.2326,opportunistic,opportunistic,forecasting,warning,"valuation (+1.31), technology_ai (+1.24)","psychology (-2.97), macro (-2.09), cycles (-1.78)","prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on valuation (+1.31), technology_ai (+1.24); less emphasis on psychology (-2.97), macro (-2.09), cycles (-1.78)"
Lines in the Sand,2017-04-18,There They Go Again . . . Again,2017-07-26,99,0.2297,-0.375,constructive,opportunistic,forecasting,warning,"risk (+5.47), cycles (+3.15), macro (+3.15)",none,"stance moves from constructive to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+5.47), cycles (+3.15), macro (+3.15)"
Risk,2006-01-19,It Is What It Is,2006-03-27,67,0.2223,-0.337,constructive,opportunistic,warning,forecasting,"cycles (+2.66), rates (+2.33), macro (+2.00)","risk (-20.95), valuation (-5.08), technology_ai (-0.24)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on cycles (+2.66), rates (+2.33), macro (+2.00); less emphasis on risk (-20.95), valuation (-5.08), technology_ai (-0.24)"
It’s All Good . . . Really?,2007-07-30,Now It’s All Bad?,2007-09-10,42,0.2198,0.2068,opportunistic,constructive,forecasting,warning,"risk (+7.37), prediction (+0.77), technology_ai (+0.20)","credit (-4.31), macro (-3.56), rates (-1.05)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+7.37), prediction (+0.77), technology_ai (+0.20); less emphasis on credit (-4.31), macro (-3.56), rates (-1.05)"
Now What?,2008-01-10,Whodunit,2008-02-20,41,0.2188,-0.0189,opportunistic,constructive,forecasting,warning,"risk (+3.94), prediction (+0.24), technology_ai (+0.23)","macro (-7.54), credit (-7.29), rates (-2.14)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; greater emphasis on risk (+3.94), prediction (+0.24), technology_ai (+0.23); less emphasis on macro (-7.54), credit (-7.29), rates (-2.14)"
It’s Greek to Me,2010-07-19,Hemlines,2010-09-10,53,0.2161,-0.3866,constructive,alarmed,forecasting,forecasting,"credit (+10.08), valuation (+6.93), rates (+5.08)",politics (-4.38),"stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+10.08), valuation (+6.93), rates (+5.08); less emphasis on politics (-4.38)"
Irrational Exuberance,2000-05-01,Investment Miscellany,2000-11-16,199,0.2112,-0.697,opportunistic,alarmed,warning,warning,"risk (+4.05), valuation (+3.13), credit (+2.76)","rates (-2.69), macro (-2.57), cycles (-0.61)","stance moves from opportunistic to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+4.05), valuation (+3.13), credit (+2.76); less emphasis on rates (-2.69), macro (-2.57), cycles (-0.61)"
Mr. Market Miscalculates,2024-08-22,Shall We Repeal the Laws of Economics?,2024-09-19,28,0.2092,-0.171,constructive,constructive,forecasting,forecasting,"politics (+6.76), macro (+2.70), credit (+0.67)","psychology (-6.35), rates (-4.88), cycles (-3.58)","greater emphasis on politics (+6.76), macro (+2.70), credit (+0.67); less emphasis on psychology (-6.35), rates (-4.88), cycles (-3.58)"
The Illusion of Knowledge,2022-09-08,What Really Matters?,2022-11-22,75,0.2,0.2874,constructive,constructive,forecasting,forecasting,"valuation (+4.94), risk (+4.69), credit (+4.19)","macro (-10.25), rates (-2.34), prediction (-2.00)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+4.94), risk (+4.69), credit (+4.19); less emphasis on macro (-10.25), rates (-2.34), prediction (-2.00)"
The New Paradigm,2006-10-19,Pigweed,2006-12-07,49,0.1956,0.2769,opportunistic,constructive,forecasting,warning,"risk (+2.34), uncertainty (+0.74), macro (+0.55)","credit (-8.19), rates (-3.30), cycles (-1.10)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+2.34), uncertainty (+0.74), macro (+0.55); less emphasis on credit (-8.19), rates (-3.30), cycles (-1.10)"
Hemlines,2010-09-10,Open and Shut,2010-12-01,82,0.1875,0.2314,alarmed,opportunistic,forecasting,warning,"risk (+6.21), cycles (+4.35), psychology (+1.87)","valuation (-4.62), credit (-3.73), uncertainty (-1.11)","stance moves from alarmed to opportunistic; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+6.21), cycles (+4.35), psychology (+1.87); less emphasis on valuation (-4.62), credit (-3.73), uncertainty (-1.11)"
Sea Change,2022-12-13,Lessons from Silicon Valley Bank,2023-04-17,125,0.18,-0.4295,opportunistic,constructive,warning,forecasting,politics (+3.19),"rates (-16.82), macro (-10.25), valuation (-4.85)","stance moves from opportunistic to constructive; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on politics (+3.19); less emphasis on rates (-16.82), macro (-10.25), valuation (-4.85)"
Volatility + Leverage = Dynamite,2008-12-17,The Long View,2009-01-09,23,0.18,-0.3627,opportunistic,constructive,warning,warning,"macro (+5.54), cycles (+5.36), rates (+2.90)","risk (-7.74), prediction (-0.62), valuation (-0.31)","stance moves from opportunistic to constructive; later memo is materially more defensive / bearish in tone; greater emphasis on macro (+5.54), cycles (+5.36), rates (+2.90); less emphasis on risk (-7.74), prediction (-0.62), valuation (-0.31)"
Down to the Wire,2011-07-21,What’s Behind the Downturn?,2011-09-07,48,0.1794,0.0769,alarmed,constructive,forecasting,forecasting,"prediction (+2.47), risk (+2.38), rates (+1.68)","credit (-6.01), macro (-2.51), politics (-1.55)","stance moves from alarmed to constructive; greater emphasis on prediction (+2.47), risk (+2.38), rates (+1.68); less emphasis on credit (-6.01), macro (-2.51), politics (-1.55)"
You Can't Predict. You Can Prepare.,2001-11-20,Learning From Enron,2002-03-14,114,0.1745,0.1622,constructive,constructive,forecasting,forecasting,"risk (+0.69), politics (+0.49), uncertainty (+0.18)","macro (-11.09), cycles (-10.50), prediction (-3.64)","greater emphasis on risk (+0.69), politics (+0.49), uncertainty (+0.18); less emphasis on macro (-11.09), cycles (-10.50), prediction (-3.64)"
Taking the Temperature,2023-07-10,"Fewer Losers, or More Winners?",2023-09-12,64,0.1716,0.6987,constructive,constructive,warning,warning,"risk (+8.77), credit (+4.57), valuation (+0.99)","psychology (-5.36), cycles (-2.40), technology_ai (-1.37)","later memo is materially more constructive / bullish in tone; greater emphasis on risk (+8.77), credit (+4.57), valuation (+0.99); less emphasis on psychology (-5.36), cycles (-2.40), technology_ai (-1.37)"
What Worries Me,2008-08-28,Nobody Knows,2008-09-19,22,0.1701,-0.84,constructive,constructive,forecasting,forecasting,"risk (+5.76), cycles (+5.00), credit (+2.00)","macro (-3.10), politics (-1.47), technology_ai (-0.18)","later memo is materially more defensive / bearish in tone; greater emphasis on risk (+5.76), cycles (+5.00), credit (+2.00); less emphasis on macro (-3.10), politics (-1.47), technology_ai (-0.18)"
Doesn’t Make Sense,2008-07-31,What Worries Me,2008-08-28,28,0.1701,0.1076,opportunistic,constructive,forecasting,forecasting,"macro (+4.18), politics (+0.76), prediction (+0.39)","risk (-3.55), credit (-3.40), valuation (-1.30)","stance moves from opportunistic to constructive; greater emphasis on macro (+4.18), politics (+0.76), prediction (+0.39); less emphasis on risk (-3.55), credit (-3.40), valuation (-1.30)"
Safety First . . . But Where?,2001-04-10,"What's It All About, Alpha?",2001-07-11,92,0.1654,0.2024,opportunistic,constructive,forecasting,warning,"risk (+6.08), valuation (+1.78), credit (+1.37)","macro (-2.71), technology_ai (-2.60), cycles (-1.04)","stance moves from opportunistic to constructive; prediction posture moves from forecasting to warning; later memo is materially more constructive / bullish in tone; greater emphasis on risk (+6.08), valuation (+1.78), credit (+1.37); less emphasis on macro (-2.71), technology_ai (-2.60), cycles (-1.04)"
Something of Value,2021-01-11,2020 in Review,2021-03-04,52,0.1629,0.3309,opportunistic,opportunistic,forecasting,forecasting,"rates (+5.50), credit (+2.31), risk (+1.95)","valuation (-17.03), technology_ai (-2.48), psychology (-0.35)","later memo is materially more constructive / bullish in tone; greater emphasis on rates (+5.50), credit (+2.31), risk (+1.95); less emphasis on valuation (-17.03), technology_ai (-2.48), psychology (-0.35)"
Is It a Bubble?,2025-12-09,AI Hurtles Ahead,2026-02-26,79,0.162,0.5287,alarmed,constructive,forecasting,forecasting,"technology_ai (+9.00), rates (+0.22)","credit (-4.28), valuation (-3.10), risk (-1.78)","stance moves from alarmed to constructive; later memo is materially more constructive / bullish in tone; greater emphasis on technology_ai (+9.00), rates (+0.22); less emphasis on credit (-4.28), valuation (-3.10), risk (-1.78)"
Getting Lucky,2014-01-16,Dare to Be Great II,2014-04-08,82,0.1616,-0.035,constructive,constructive,forecasting,forecasting,"risk (+10.17), prediction (+3.51), cycles (+0.18)","valuation (-1.73), macro (-0.38), psychology (-0.37)","greater emphasis on risk (+10.17), prediction (+3.51), cycles (+0.18); less emphasis on valuation (-1.73), macro (-0.38), psychology (-0.37)"
"Microeconomics 101: Supply, Demand and Convertibles",1992-10-08,Random Thoughts On The Identification Of Inv Opportunities,1994-01-24,473,0.16,0.163,constructive,opportunistic,forecasting,forecasting,"psychology (+7.78), credit (+7.57), macro (+1.30)","prediction (-1.12), uncertainty (-1.12), valuation (-0.60)","stance moves from constructive to opportunistic; greater emphasis on psychology (+7.78), credit (+7.57), macro (+1.30); less emphasis on prediction (-1.12), uncertainty (-1.12), valuation (-0.60)"
The Indispensability of Risk,2024-04-17,The Impact of Debt,2024-05-08,21,0.159,0.0833,humble,opportunistic,warning,warning,"credit (+9.81), cycles (+2.45), psychology (+0.83)","risk (-10.05), valuation (-3.94), prediction (-1.72)","stance moves from humble to opportunistic; greater emphasis on credit (+9.81), cycles (+2.45), psychology (+0.83); less emphasis on risk (-10.05), valuation (-3.94), prediction (-1.72)"
Knowledge of the Future,2020-04-14,Uncertainty,2020-05-11,27,0.1471,-0.5162,constructive,constructive,forecasting,forecasting,"uncertainty (+1.82), prediction (+0.34)","rates (-6.58), politics (-3.66), risk (-2.62)","later memo is materially more defensive / bearish in tone; greater emphasis on uncertainty (+1.82), prediction (+0.34); less emphasis on rates (-6.58), politics (-3.66), risk (-2.62)"
Risk Revisited Again,2015-06-08,It’s Not Easy,2015-09-09,93,0.1461,0.3543,constructive,constructive,warning,warning,"valuation (+4.33), psychology (+0.38), technology_ai (+0.36)","risk (-8.01), prediction (-2.98), rates (-1.03)","later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+4.33), psychology (+0.38), technology_ai (+0.36); less emphasis on risk (-8.01), prediction (-2.98), rates (-1.03)"
Thinking About Macro,2021-07-29,The Winds of Change,2021-11-23,117,0.1432,0.2882,constructive,constructive,forecasting,forecasting,"politics (+3.82), technology_ai (+2.62), cycles (+0.63)","macro (-19.37), rates (-17.17), prediction (-4.85)","later memo is materially more constructive / bullish in tone; greater emphasis on politics (+3.82), technology_ai (+2.62), cycles (+0.63); less emphasis on macro (-19.37), rates (-17.17), prediction (-4.85)"
The Lessons of Oil,2014-12-18,Liquidity,2015-03-25,97,0.1428,-0.5015,opportunistic,opportunistic,forecasting,forecasting,"risk (+1.44), uncertainty (+0.49), politics (+0.21)","macro (-4.73), psychology (-2.22), rates (-1.73)","later memo is materially more defensive / bearish in tone; greater emphasis on risk (+1.44), uncertainty (+0.49), politics (+0.21); less emphasis on macro (-4.73), psychology (-2.22), rates (-1.73)"
There They Go Again . . . Again,2017-07-26,Yet Again?,2017-09-07,43,0.1403,0.1125,opportunistic,opportunistic,warning,forecasting,"valuation (+2.18), psychology (+0.86), politics (+0.66)","rates (-3.85), credit (-3.75), risk (-3.34)","prediction posture moves from warning to forecasting; greater emphasis on valuation (+2.18), psychology (+0.86), politics (+0.66); less emphasis on rates (-3.85), credit (-3.75), risk (-3.34)"
On the Other Hand,2019-07-26,Mysterious,2019-10-17,83,0.1373,-0.8254,constructive,alarmed,forecasting,forecasting,"credit (+12.53), valuation (+3.15), rates (+0.99)","macro (-5.37), politics (-1.72), prediction (-0.47)","stance moves from constructive to alarmed; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+12.53), valuation (+3.15), rates (+0.99); less emphasis on macro (-5.37), politics (-1.72), prediction (-0.47)"
Further Thoughts on Sea Change,2023-10-11,Easy Money,2024-01-09,90,0.135,0.1145,opportunistic,opportunistic,forecasting,warning,"cycles (+4.54), valuation (+2.62), risk (+2.28)","credit (-2.23), rates (-1.74), macro (-1.04)","prediction posture moves from forecasting to warning; greater emphasis on cycles (+4.54), valuation (+2.62), risk (+2.28); less emphasis on credit (-2.23), rates (-1.74), macro (-1.04)"
Uncertainty,2020-05-11,Uncertainty II,2020-05-28,17,0.1335,-0.5195,constructive,humble,forecasting,forecasting,"risk (+1.16), politics (+0.96), prediction (+0.95)","credit (-2.72), macro (-2.13), rates (-1.05)","stance moves from constructive to humble; later memo is materially more defensive / bearish in tone; greater emphasis on risk (+1.16), politics (+0.96), prediction (+0.95); less emphasis on credit (-2.72), macro (-2.13), rates (-1.05)"
The Realist's Creed,2002-05-31,Quo Vadis?,2002-07-26,56,0.1328,0.0226,constructive,opportunistic,forecasting,forecasting,"macro (+5.79), rates (+3.98), politics (+2.63)","risk (-3.28), cycles (-1.04), technology_ai (-0.74)","stance moves from constructive to opportunistic; greater emphasis on macro (+5.79), rates (+3.98), politics (+2.63); less emphasis on risk (-3.28), cycles (-1.04), technology_ai (-0.74)"
More on Repealing the Laws of Economics,2025-06-18,The Calculus of Value,2025-08-13,56,0.1316,-0.0323,constructive,constructive,forecasting,forecasting,"valuation (+21.63), psychology (+3.92), prediction (+1.45)","politics (-3.67), macro (-2.92), rates (-2.22)","greater emphasis on valuation (+21.63), psychology (+3.92), prediction (+1.45); less emphasis on politics (-3.67), macro (-2.92), rates (-2.22)"
Déjà Vu All Over Again,2012-03-19,It’s All a Big Mistake,2012-06-20,93,0.1311,0.1759,opportunistic,opportunistic,forecasting,warning,"credit (+12.26), valuation (+5.20), risk (+3.25)","macro (-1.65), psychology (-1.52), technology_ai (-0.68)","prediction posture moves from forecasting to warning; greater emphasis on credit (+12.26), valuation (+5.20), risk (+3.25); less emphasis on macro (-1.65), psychology (-1.52), technology_ai (-0.68)"
The Race to the Bottom,2007-02-14,Everyone Knows,2007-04-26,71,0.126,0.2045,constructive,opportunistic,forecasting,forecasting,"valuation (+5.58), risk (+2.69), credit (+1.93)","rates (-2.53), cycles (-0.85)","stance moves from constructive to opportunistic; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+5.58), risk (+2.69), credit (+1.93); less emphasis on rates (-2.53), cycles (-0.85)"
The Aviary,2008-05-16,Doesn’t Make Sense,2008-07-31,76,0.1239,0.5936,constructive,opportunistic,warning,forecasting,"valuation (+3.85), credit (+1.36), technology_ai (+0.25)","politics (-4.71), risk (-3.02), cycles (-2.02)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more constructive / bullish in tone; greater emphasis on valuation (+3.85), credit (+1.36), technology_ai (+0.25); less emphasis on politics (-4.71), risk (-3.02), cycles (-2.02)"
It’s All Good,2007-07-16,It’s All Good . . . Really?,2007-07-30,14,0.1227,-0.3295,constructive,opportunistic,warning,forecasting,"credit (+4.70), rates (+2.10), macro (+1.71)","cycles (-5.03), risk (-4.52), valuation (-1.78)","stance moves from constructive to opportunistic; prediction posture moves from warning to forecasting; later memo is materially more defensive / bearish in tone; greater emphasis on credit (+4.70), rates (+2.10), macro (+1.71); less emphasis on cycles (-5.03), risk (-4.52), valuation (-1.78)"
Etorre's Wisdom,2002-09-04,Returns and How They Get That Way,2002-11-11,68,0.1215,0.1944,constructive,opportunistic,forecasting,forecasting,"valuation (+16.79), macro (+3.49), psychology (+0.75)","technology_ai (-0.55), credit (-0.28), uncertainty (-0.28)","stance moves from constructive to opportunistic; greater emphasis on valuation (+16.79), macro (+3.49), psychology (+0.75); less emphasis on technology_ai (-0.55), credit (-0.28), uncertainty (-0.28)"
